title,category,reviews
"이스라엘, 이란 경제 숨통 조인다…'군사→산업' 타깃 전환",World,이스라엘 이란 경제 숨통 조이다 군사 산업 타깃 전환
"'지도부 표적살해' 협상 자충수 됐다…""이란 의사결정구조 붕괴""",World,도부 표적 살해 협상 자충수 돼다 이란 의사결정 구조 붕괴
트럼프 ‘초토화’ 경고 속 美 공수부대 중동 도착…이란은 호르무즈·홍해 양동 작전,World,트럼프 초토화 경고 공수부대 중동 도착 이란 호르무즈 홍해 양동 작전
"""20척 통과"" 트럼프 자랑했는데…""낚시용"" 비웃은 해운 브로커, 왜?",World,통과 트럼프 자랑 낚시 비웃다 해운 브로커
"""앞으로도 호르무즈 돌아가는 게 좋다""는 네타냐후...""목표 절반 달성, 종전 시한 없어""",World,호르무즈 돌아가다 좋다 늘다 네타냐후 목표 절반 달성 종전 시한
"100달러 넘은 유가, 2022년 이후 최고…""200달러 갈 수도""",World,달러 넘다 유가 최고 달러 갈다 수도
"중국에 '이례적 불허' 이후...""호르무즈 해협 잠재적 변화 신호"" [지금이뉴스]",World,중국 이례 불허 호르무즈 해협 잠재 변화 신호 뉴스
미군 레인저·네이비실·82공수사단 중동에 속속 도착…지상전 병력 증강에 긴장 고조,World,미군 레인저 네이비실 공수 사단 중동 도착 지상전 병력 증강 긴장 고조
"“이란, ‘홍해도 막을 준비하라’ 후티 반군에 압박”",World,이란 홍해 준비 하라 후티 반군 압박
"백악관 ""트럼프, 아랍국에 이란전쟁 비용 부담하게 하는 데 꽤 관심있을 것""",World,백악관 트럼프 아랍 이란 전쟁 비용 부담 관심
"이란, 후티 홍해 봉쇄 압박…글로벌 물류에 치명적 위기",World,이란 후티 홍해 봉쇄 압박 글로벌 물류 치명 위기
"美 NASA, 54년만 인류 달 탐사 카운트다운 시작…1일 우주선 발사 예정",World,인류 탐사 카운트다운 시작 우주선 발사 예정
"[자막뉴스] 트럼프, 전쟁 비용 떠넘기기?...손 내젓는 각국에 ""기억하겠다"" 으름장",World,자막 뉴스 트럼프 전쟁 비용 뜨다 넘기다 내젓다 각국 기억 으름장
"일, 호위함 개조 이어 육상 부대에 '반격 능력' 미사일 첫 배치",World,호위함 개조 육상 부대 반격 능력 미사일 배치
"이 옵션 저 옵션 다 넣던 중동 갑부들 떠날라…스포츠카 업계도 ""속 탄다, 속 타""",World,옵션 옵션 넣다 중동 갑부 떠나다 스포츠카 업계
"미국, 최정예 공수부대 병력 중동 배치…지상군 투입 준비하나",World,미국 정예 공수부대 병력 중동 배치 지상군 투입 준비
"“가도 가도 또 생각나”…일본에 푹 빠진 MZ, 세대별 ‘최애 도시’는 완전 달랐다",World,가도 가도 생각나다 일본 빠지다 대별 최애 도시 늘다 다르다
"트럼프의 ""이란 해수담수화 공장 파괴"" 위협.. 그 의미는?--AP",World,트럼프 이란 해수담수화 공장 파괴 위협 의미
호르무즈 통행료...트럼프라면 '나눠갖자' 할까? [Y녹취록],World,호르무즈 통행료 트럼프 라면 나누다 갖다 녹취록
이란 헤즈볼라 하이파 동시공격…이스라엘 “경제 목표물 공격”,World,이란 헤즈볼라 하이파 동시 공격 이스라엘 경제 목표 공격
"“미국에선 못 한다”… 세계 수학자들, 집단 보이콧 선언",World,미국 세계 수학자 집단 보이콧 선언
"[월드앤이슈] 트럼프 ""진지한 협상중""…이란, 호르무즈 통행료 승인",World,월드 이슈 트럼프 진지하다 협상 이란 호르무즈 통행료 승인
"美국방장관, 내부자거래 시도했나…""이란 공격전 방산투자 문의""",World,국방 장관 내부자거래 시도 이란 격전 방산 투자 문의
전세계 방산업체들 드론 요격 저가 미사일 개발 러시,World,전세계 방산 업체 드론 요격 저가 미사일 개발 러시
트럼프와 갈 데까지 가는 스페인… “美 군용기 영공 통과 금지”,World,트럼프 갈다 가다 스페인 군용기 영공 통과 금지
"은둔의 이란 최고지도자 모즈타바, 3번째 서면 메시지 “이란 지지한 이라크에 감사”",World,은둔 이란 최고 지도자 타바 서면 메시지 이란 지지 이라크 감사
지상군 속속 증원…미 82공수사단 수천 명 중동 도착,World,지상군 증원 밉다 공수 사단 수천 중동 도착
"日, 호위함 개조 이어 육상부대에 '반격능력' 미사일 첫 배치",World,호위함 개조 상부 반격 능력 미사일 배치
"""이란, 후티 반군에 '홍해도 막을 준비하라' 압박""",World,이란 후티 반군 홍해 준비 하라 압박
“30억 내야 지나갈 수 있다고?”…이란 의회 ‘호르무즈 통행료’ 징수 법안 승인,World,내야 지나가다 이란 의회 호르무즈 통행료 징수 법안 승인
미 82공수사단 수천명 중동 도착…지상전 대비 병력 증강 고조,World,밉다 공수 사단 천명 중동 도착 지상전 대비 병력 증강 고조
"'상륙작전' 美해병대 이어…""공수부대 병력 수천명 중동 도착""",World,상륙작전 해병대 공수부대 병력 천명 중동 도착
유럽 아니면 미국?... 젤렌스키 “동맹국이 러 에너지 시설 공격 자제 요청”,World,유럽 미국 렌스 동맹국 에너지 시설 공격 자제 요청
"이란전쟁에 원유 팔아 3조 챙긴 러…“'미국의 눈' 박살낸 이란, 러가 100% 도왔다”",World,이란 전쟁 원유 챙기다 미국 박살 내다 이란 오다
"""생존 신호가 전혀 없어""...서면 메시지만 반복하는 모즈타바 [이슈톺]",World,생존 신호 전혀 서면 메시지 반복 타바 이슈 톺다
"""이란 공격에 걸프국 요격미사일 최소 2400발 소진…거의 바닥""",World,이란 공격 걸프 요격 미사일 최소 소진 바닥
트럼프 이어 루비오도 NATO 탈퇴 가능성 시사…“전면 재검토”,World,트럼프 루비 오도 탈퇴 가능성 시사 전면 검토
"트럼프, '궤멸적 타격' 경고…일방적 종전 선포 가능성도",World,트럼프 궤멸적 타격 경고 일방 종전 선포 가능성
마두로 체포·이란 전쟁 예측에 내부자거래 있었나…美검찰 조사,World,체포 이란 전쟁 예측 내부자거래 검찰 조사
"뉴욕증시, 중동 정세 불확실성·기술주 부담에 혼조 마감",World,뉴욕증시 중동 정세 불확실 기술 부담 마감
"미 국무 ""이란 전쟁 끝나면 나토 재검토""…탈퇴 카드 꺼내나",World,밉다 국무 이란 전쟁 끝나다 나토 검토 탈퇴 카드 꺼내다
"미국, 이란전 끝나고 나면...예고했던 '보복' 현실되나 [지금이뉴스]",World,미국 이란 끝나다 나다 예고 보복 현실 뉴스
"백악관 ""걸프전 때도 아랍국가들이 비용 분담""...당시 어땠나? [앵커리포트]",World,백악관 걸프전 아랍 국가 비용 분담 당시 어떻다 앵커 리포트
"네타냐후 “이란 전쟁, 절반 이상 왔다… 종료 시점은 미정”",World,네타냐후 이란 전쟁 절반 오다 종료 시점 미정
"트럼프 ""이란 폭파·초토화"" 발언에…WTI 100달러 넘었다",World,트럼프 이란 폭파 초토화 발언 달러 넘다
"미, 나토동맹 압박…네타냐후 ""목표 달성 근접""",World,밉다 나토 동맹 압박 네타냐후 목표 달성 근접
"日, 1000㎞ 장거리미사일 첫 배치…中 겨냥 '반격능력' 일환",World,장거리 미사일 배치 겨냥 반격 능력 일환
"이란 측, '호르무즈 통행료' 법안 통과…""당연히 지불해야""",World,이란 호르무즈 통행료 법안 통과 당연하다 지불
후티 참전에 ‘불붙은 유가’…WTI 3년8개월 만에 100달러 돌파 마감,World,후티 참전 붙다 유가 개월 달러 돌파 마감
"트럼프, 협상상대 갈리바프 이란 의회 의장 공식 확인...“실권 없어 협상 안갯속” 평가",World,트럼프 협상 상대 갈리 바프 이란 의회 의장 공식 확인 실권 협상 안갯속 평가
"트럼프, '초토화' 으름장…""황금 기회 살려야""",World,트럼프 초토화 으름장 황금 기회 살리다
"""경기도지사 왜 나오셨냐"" 추미애 코너로 몬 김동연",World,경기도 지사 나오다 추미애 코너 김동연
"나토는 재검토, 아랍국가엔 전쟁 비용 분담…美, 이상한 이란 전쟁 ‘청구서’",World,나토 검토 아랍 국가 전쟁 비용 분담 이상하다 이란 전쟁 청구
"트럼프 ""이란, 휴전 타결 안 하면 하르그섬·발전소 폭파할 것""",World,트럼프 이란 휴전 타결 르그 발전소 폭파
"美, 나토 탈퇴 카드?…국무장관 ""전쟁 끝나면 재검토""",World,나토 탈퇴 카드 국무장관 전쟁 끝나다 검토
"한화디펜스-필리조선소, 미 해군 첫 수주…차세대 군수함 개발",World,한화 디펜스 피다 조선소 밉다 해군 수주 차세대 군수 개발
"네타냐후 ""전쟁 목표 절반 이상 달성…이란, 내부 붕괴할 것""(종합)",World,네타냐후 전쟁 목표 절반 달성 이란 내부 붕괴하다 종합
"""월남전으로 빠져들어가는 것""...미군 안전까지 위험한 도박? [이슈톺]",World,월남전 빠져들다 미군 안전 위험하다 도박 이슈 톺다
"[중동전쟁] 이란 의회, 호르무즈 해협 통행료 징수법안 승인",World,중동전쟁 이란 의회 호르무즈 해협 통행료 징수 법안 승인
"이스라엘, 종전 시점 ""정하지 않겠다""...목표 ""절반 이상 달성""",World,이스라엘 종전 시점 목표 절반 달성
"""이란, 美 확전시 후티 반군에 홍해 공격하도록 압박""",World,이란 전시 후티 반군 홍해 공격 압박
"트럼프 ""합의 안 되면 하르그·발전소 폭파""...미 국무 ""나토 재검토할 것""",World,트럼프 합의 르그 발전소 폭파 밉다 국무 나토 검토
트럼프 이어 루비오도 나토 탈퇴 시사…“이란전 끝나면 전면 재검토”,World,트럼프 루비 오도 나토 탈퇴 시사 이란 끝나다 전면 검토
“전쟁 한 달째인데 슈퍼마켓엔 물건이 가득”…이란 ‘저항 경제’ 언제까지 버틸까,World,전쟁 슈퍼마켓 물건 가득 이란 저항 경제 버티다
美 루비오 국무 “이란 전쟁 후 나토 관계 재평가”-알자지라 인터뷰,World,루비 국무 이란 전쟁 나토 관계 평가 알자지라 인터뷰
"[부자들의 투자노트] 파월 ""현 통화정책, 이란전쟁 영향 지켜보기 좋은 위치""",World,부자 투자 노트 파월 통화정책 이란 전쟁 영향 지켜보다 좋다 위치
"""굉장히 수상한 움직임""...트럼프 발표 전 폭증한 거래 [굿모닝경제]",World,굉장하다 수상한 움직임 트럼프 발표 폭증 거래 굿모닝 경제
미 국무 “이란 전쟁 끝나면 나토 재검토”…탈퇴도 시사,World,밉다 국무 이란 전쟁 끝나다 나토 검토 탈퇴 시사
"[속보] 이란 의회, 호르무즈 통행료 부과법안 추진",World,속보 이란 의회 호르무즈 통행료 부과 법안 추진
"돼지고기 가격, 채소보다 싸다?...중국 공급과잉에 사상 최저 기록",World,돼지고기 가격 채소 싸다 중국 공급 과잉 사상 최저 기록
"해협 통과할 때마다 30억?…이란, '호르무즈 통행료' 승인",World,해협 통과 이란 호르무즈 통행료 승인
'동시 공격'에 화염 치솟은 정유시설…'저항의 축' 재결속,World,동시 공격 화염 치솟다 정유 시설 저항 재결
"한화디펜스-필리조선소, 美해군 첫 수주…차세대 군수함 개발(종합)",World,한화 디펜스 피다 조선소 해군 수주 차세대 군수 개발 종합
"""우리 선원들, 호르무즈에 갇힌 전쟁포로나 다름 없어‥파병은 신중히"" [모닝콜]",World,선원 호르무즈 갇히다 전쟁포로 다르다 파병 신중하다 모닝콜
네타냐후 “이란전 목표 절반 이상 달성”…종전 시점은 언급 안 해,World,네타냐후 이란 목표 절반 달성 종전 시점 언급
"네타냐후 ""이란 전쟁 목표 절반 이상 달성…종료 시점 미정""",World,네타냐후 이란 전쟁 목표 절반 달성 종료 시점 미정
"이란 의회, 호르무즈해협 통행료 징수 계획 승인",World,이란 의회 호르무즈 해협 통행료 징수 계획 승인
美·이란 확전 우려에 단타 매매 급증…뉴욕증시 혼조 마감,World,이란 확전 우려 단타 매매 급증 뉴욕증시 마감
"걸프전처럼…美, 이란전 비용 중동국가 분담 검토",World,걸프전 이란 비용 중동 국가 분담 검토
"백악관 ""이란과 대화 잘 돼가…황금기회 거부시 심각한 대가""",World,백악관 이란 대화 자다 돼다 황금 기회 거부 심각하다 대가
"트럼프 ""합의 불발시 초토화""…전쟁비용 떠넘기기?",World,트럼프 합의 불발 초토화 전쟁 비용 뜨다 넘기다
"월가 거물 애크먼 ""하락론 무시하라…우량주 매수 최적기""",World,거물 크다 멀다 하락 무시 우량 매수 적기
"미 국무장관 “나토에 매우 실망, 이란 전쟁 끝나면 재검토할 것”",World,밉다 국무장관 나토 실망 이란 전쟁 끝나다 검토
미 국무 “이란전 끝나면 나토 재검토”…협조 안 한 유럽에 실망감,World,밉다 국무 이란 끝나다 나토 검토 협조 유럽 실망
[속보] 트럼프 “이란과 곧 합의 안되면 하르그섬과 모든 발전소 폭파”,World,속보 트럼프 이란 합의 안되다 르그 모든 발전소 폭파
"숨진 이란 해군사령관 생전 영상에서 ""호르무즈 봉쇄하라""…국제유가 또 상승",World,숨지다 이란 해군 사령관 생전 영상 호르무즈 봉쇄 국제 유가 상승
[마켓 브리핑] 파월의 금리 인상 가능성 일축에도 기술주 주도 하락세,World,마켓 브리핑 파월 금리 인상 가능성 기술 주도 하락
"[속보] 파월 ""당분간 금리 유지할 것"" 비트 1% 상승, 6만6000달러",World,속보 파월 당분간 금리 유지 비트 상승 달러
美 루비오 “비협조적 나토에 매우 실망…이란 전쟁 끝나면 전면 재검토하겠다”,World,루비 협조 나토 실망 이란 전쟁 끝나다 전면 검토
"포르투갈 8천여명 , ""미군의 라예스공군기지 대 이란전 사용"" 금지 청원",World,포르투갈 여명 미군 예스 공군기지 대다 이란 사용 금지 청원
"후티, 홍해 공격 나서나…""이란 압박 속 선택 기로""",World,후티 홍해 공격 나서다 이란 압박 선택
[김대호 박사의 오늘의 키워드] 트럼프 경고·사우디 원유 폭탄·터보퀀트 충격·김동관 빚 잔치,World,김대호 박사 오늘 워드 트럼프 경고 사우디 원유 폭탄 터보 퀀트 충격 김동관 잔치
이란·헤즈볼라 '저항의 축' 재결집‥정유시설 폭격,World,이란 헤즈볼라 저항 재결 정유 시설 폭격
'터보퀀트 충격' 반도체 우수수…반도체지수 4.23%↓(종합2),World,터보 퀀트 충격 반도체 우수수 반도체 지수 종합
‘이 물고기’ 잡겠다고 5시간 사투…낚싯줄 따라 올라온 227㎏ 정체,World,물고기 잡다 사투 낚싯줄 따르다 올라오다 정체
이란 미사일 튀르키예 상공 요격…이란 전쟁 후 4번째,World,이란 미사일 튀르키예 상공 요격 이란 전쟁
해상 물동량 12%가 홍해…막히면 '희망봉 우회'도 한계,World,해상 물동량 가다 홍해 막히다 희망봉 우회 한계
이란 새 지도부 의사 결정 능력 결여…협상에 어려움,World,이란 도부 의사 결정 능력 결여 협상 어려움
"이란, 후티 반군에 ""홍해 선박 공격 재개 준비하라"" 압박",World,이란 후티 반군 홍해 선박 공격 재개 준비 하라 압박
"‘저항의 축’ 재결속 신호…이란·헤즈볼라, 이스라엘 산업도시 하이파 동시공격",World,저항 재결 신호 이란 헤즈볼라 이스라엘 산업 도시 하이파 동시 공격
"美, 아랍에 전쟁 비용 청구 시사...""대통령 관심 있을 듯""",World,아랍 전쟁 비용 청구 시사 대통령 관심
"[증시전략] ""전쟁 충격 예상보다 크지 않아""…美증시 그래도 선방?",World,증시 전략 전쟁 충격 예상 크다 증시 선방
"美사모대출 흔들리는데…트럼프, ‘2경원’ 퇴직연금에 문호 개방[1일1트]",World,사모 대출 흔들리다 트럼프 경원 퇴직 연금 문호 개방
백악관 “이란전 비용 아랍국 분담 검토”…전쟁비용 떠넘기나,World,백악관 이란 비용 아랍 분담 검토 전쟁 비용 뜨다 넘기다
"미 국무 ""이란 전쟁 끝나면 나토 재검토""…탈퇴 카드 꺼내나",World,밉다 국무 이란 전쟁 끝나다 나토 검토 탈퇴 카드 꺼내다
"또 터보퀀트 충격, 메모리주 일제↓ 마이크론 10%-샌디스크 7%(종합)",World,터보 퀀트 충격 메모리 일제 마이크론 샌디스크 종합
"美국무 ""나토 매우 실망…전쟁 끝나면 재검토""",World,국무 나토 실망 전쟁 끝나다 검토
"이란, 호르무즈 해협 통행료 부과 승인",World,이란 호르무즈 해협 통행료 부과 승인
[외신 헤드라인] 사우디 경질유 5월 가격 역대급 인상 전망,World,외신 헤드라인 사우디 경질 가격 역대 인상 전망
"호르무즈 재개방, ‘장대한 분노’ 핵심 목표는 아니라는 백악관[이태규의 워싱턴 플레이북]",World,호르무즈 재개 장대 분노 핵심 목표 백악관 이태규 워싱턴 플레이
"트럼프, 이란 ‘초토화’ 경고로 막판 압박…일방적 무력종결 가능성도[1일1트]",World,트럼프 이란 초토화 경고 막판 압박 일방 무력 종결 가능성
세계 원유 수송 20% 이란 손아귀에…호르무즈의 '수에즈화' 초읽기,World,세계 원유 수송 이란 손아귀 호르무즈 수에즈 초읽기
"미 국무 ""이란 전쟁 끝나면 나토 재검토""...탈퇴 카드 '만지작'",World,밉다 국무 이란 전쟁 끝나다 나토 검토 탈퇴 카드
"이란 의회, 호르무즈 해협 통행료 부과 법안 승인…""액수는 밝히지 않아""",World,이란 의회 호르무즈 해협 통행료 부과 법안 승인 액수 밝히다
트럼프 못 믿는 시장...변동성 속 혼조 마감 [앵커리포트],World,트럼프 믿다 시장 변동성 마감 앵커 리포트
동시공격에 정유시설 화염…'저항의 축' 재결속,World,공격 정유 시설 화염 저항 재결
미 전략자산 ‘하늘의 눈’도 당했다…“러시아가 위성 사진 제공”,World,밉다 전략 자산 하늘 당하다 러시아 위성 사진 제공
"트럼프 ""합의 안되면 발전소·하르그섬 초토화""",World,트럼프 합의 안되다 발전소 르그 초토화
이란·헤즈볼라 '저항의 축' 재결집‥정유시설 폭격,World,이란 헤즈볼라 저항 재결 정유 시설 폭격
이란 헤즈볼라 하이파 동시공격…이스라엘 “경제 목표물 공격”,World,이란 헤즈볼라 하이파 동시 공격 이스라엘 경제 목표 공격
붙이고 압축하고...HBM에 맞서는 메모리 전쟁[김창영의 실리콘밸리Look],World,붙이 압축 맞서다 메모리 전쟁 김창영 실리콘밸리
하루만에 돌변한 트럼프 “합의 늦으면 초토화 시킬 것” [글로벌 모닝브리핑],World,하루 돌변 트럼프 합의 늦다 초토화 글로벌 모닝 브리핑
아시아 유가 초비상...사우디 경질유 5월 가격 크게 오를 듯[美-이란 전쟁],World,아시아 유가 초비상 사우디 경질 가격 크게 이란 전쟁
사흘전엔 회항했는데...中 화물선 호르무즈 통과,World,사흘 회항 화물선 호르무즈 통과
이란 “파키스탄 종전 협상 참여한 적 없어”,World,이란 파키스탄 종전 협상 참여
두 동강난 미국의 자존심···조기경보기 완파를 방공망 파괴로 부른 이유는 [美-이란전쟁],World,동강 미국 자존심 조기경보기 완파 방공 파괴 부르다 이유 이란 전쟁
"美 '전쟁 청구서' 아랍 향할까…백악관 ""트럼프, 꽤 관심있을 것""",World,전쟁 청구 아랍 백악관 트럼프 관심
중동 공급 막히자 사우디유 급등…아시아 정유사 직격탄,World,중동 공급 막히다 사우디 급등 아시아 유사 직격탄
美국무 “이란전 끝나면 나토 재검토”…탈퇴 카드 압박,World,국무 이란 끝나다 나토 검토 탈퇴 카드 압박
헤지펀드 거물 애크먼 “최고의 우량주 매수 타이밍…약세론 무시하라” [1일1트],World,헤지펀드 거물 크다 멀다 최고 우량 매수 타이밍 세론 무시
"美연준 파월 “현 통화정책, 이란전쟁 영향 지켜보기 좋은 위치…사모대출, 시스템 위기 아냐”",World,파월 통화정책 이란 전쟁 영향 지켜보다 좋다 위치 사모 대출 시스템 위기 알다
"백악관 “트럼프, 아랍국에 이란전쟁 비용 요청 꽤 관심있을 것” [1일1트]",World,백악관 트럼프 아랍 이란 전쟁 비용 요청 관심
"뉴욕증시, 종전·확전 전망에 혼조...WTI, 개전 이후 첫 100달러 돌파 [데일리국제금융]",World,뉴욕증시 종전 확전 전망 개전 달러 돌파 일리 국제 금융
"트럼프 ""합의 안 되면 하르그·발전소 폭파""...아랍 국가에 전쟁 비용 청구에 관심",World,트럼프 합의 르그 발전소 폭파 아랍 국가 전쟁 비용 청구 관심
자라·H&M 옷값 오른다…전쟁이 내 옷장까지 흔드는 이유 [박시진의 글로벌 픽],World,자라 옷값 전쟁 옷장 흔들다 이유 박다 글로벌
"반도체 매도세+유가 급등, 미증시 다우 제외 일제 하락(상보)",World,반도체 도세 유가 급등 밉다 증시 다우 제외 일제 하락 상보
"美국무 ""이란 전쟁 끝나면 나토 재검토""…탈퇴 카드 꺼내나(종합)",World,국무 이란 전쟁 끝나다 나토 검토 탈퇴 카드 꺼내다 종합
"전쟁 장기화 공포...WTI, 2022년 이후 처음 100달러 넘어",World,전쟁 장기 공포 처음 달러 넘다
이란 NPT 탈퇴 움직임에… 트럼프 “인프라 모두 초토화” 엄포,World,이란 탈퇴 움직임 트럼프 인프라 초토화 엄포
"“이란전, 중국에 큰 타격”…이 예측, 완전히 뒤바뀐 이유 [VIEW]",World,이란 중국 크다 타격 예측 완전하다 바뀌다 이유
"백악관 ""이란, 일부 조건 동의…작전 4~6주 시간표 유효""(종합)",World,백악관 이란 일부 조건 동의 작전 시간표 유효 종합
"젤렌스키 “러, 이란의 美 조기경보기 폭격 도와”",World,렌스 이란 조기경보기 폭격
모즈타바 “이란 지지한 이라크에 감사” 시아파 연대 강조,World,타바 이란 지지 이라크 감사 시아파 연대 강조
파키스탄 “美-이란 협상 조만간 열릴 것”,World,파키스탄 이란 협상 조만간 열리다
"""호르무즈 통행세? 명백한 법 위반...한국도 같이 압박해야""",World,호르무즈 행세 명백하다 위반 한국 압박
"트럼프 행정부, 퇴직연금 문호 개방…‘위기의 사모대출’ 월가 로비 통했다",World,트럼프 행정부 퇴직 연금 문호 개방 위기 사모 대출 로비
세계 ‘가스난’ 엎친데 덮친격…호주까지 생산 차질 '초비상',World,세계 가스 엎친데 덮친격 호주 생산 차질 초비상
아시아 정유사 ‘초비상’…사우디 경질유 5월 가격 역대급 인상,World,아시아 유사 초비상 사우디 경질 가격 역대 인상
대형군함·유조선 필수통로… 美 새 타깃은 호르무즈 7개섬,World,대형 군함 유조선 필수 통로 타깃 호르무즈 개섬
"美국무부 “유럽, AI 시대 규제 일관… 무의미한 존재 전락할 수도” 경고",World,국무부 유럽 시대 규제 일관 무의미하다 존재 전락 수도 경고
"""협상 곧 타결"" ""이란 석유 탐나"" 불안만 키우는 트럼프의 '입'",World,협상 타결 이란 석유 불안 키우다 트럼프
“러시아가 100% 돕고있다”...4500억 美 ‘하늘의 눈’ 파괴한 이란 [美-이란 전쟁],World,러시아 돕다 하늘 파괴 이란 이란 전쟁
[뉴욕유가] 후티 참전에 트럼프 위협까지…WTI 결국 100달러 넘겨 마감,World,뉴욕 유가 후티 참전 트럼프 위협 달러 넘기다 마감
"백악관 ""트럼프, 아랍국에 이란전쟁 비용 요청 꽤 관심있을 것""(종합)",World,백악관 트럼프 아랍 이란 전쟁 비용 요청 관심 종합
"美, 이란전쟁 내주 끝내나…백악관 ""4~6주 시간표 유지""(종합)",World,이란 전쟁 내주 끝내 백악관 시간표 유지 종합
"韓 AI반도체기업 리벨리온, 4억불 투자유치…美시장 진출 추진",World,반도체 기업 베다 투자 유치 시장 진출 추진
"美, 이란戰 내주 끝내나…백악관 ""4~6주 소요 평가 유지""",World,이란 내주 끝내 백악관 소요 평가 유지
사우디 경질유 5월 인도분 폭등 전망… 아시아 정유업계 ‘초비상’,World,사우디 경질 인도 폭등 전망 아시아 정유 업계 초비상
"“이란, 에너지 전쟁선 승리”… 석유 판매 수익 두배로 불었다",World,이란 에너지 전쟁 승리 석유 판매 수익 불다
